id,transactionId,barcode,deleted,finalPrice,itemPrice,priceAfterCoupon,discountedItemPrice,originalFinalPrice,quantityPurchased,originalMetaBriteItemPrice,partnerItemId,metabriteCampaignId,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReview,needsFetchReviewReason,originalMetaBriteBarcode,originalMetaBriteQuantityPurchased
178,67,043000077467,1,10,10,,,,1.0,,1,,,1,,,1,,,
179,68,4011,1,21.00,21.00,,,,2.0,,1,,4011,1,21.00,2.0,0,,,
180,69,043000008836,1,5,5,,,,1.0,,1,,,1,,,1,,,
181,69,043000008836,1,5,5,,,,1.0,,2,,,1,,,1,,,
182,69,043000008836,1,5,5,,,,1.0,,3,,,1,,,1,,,
183,69,043000008836,1,5,5,,,,1.0,,4,,,1,,,1,,,
184,69,043000008836,1,5,5,,,,1.0,,5,,,1,,,1,,,
185,70,021000068364,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
186,70,021000068364,1,9.99,9.99,,,,1.0,,2,,,1,,,1,,,
187,70,021000068364,1,9.99,9.99,,,,1.0,,3,,,1,,,1,,,
188,70,021000068364,1,9.99,9.99,,,,1.0,,4,,,1,,,1,,,
189,70,021000068364,1,9.99,9.99,,,,1.0,,5,,,1,,,1,,,
190,71,,1,,,,,,,,,,,1,,,1,,,
191,72,4011,1,1,1,,,,1.0,,1,,,1,,,1,,,
192,72,1234,1,,,,,,,,2,,1234,1,,,1,USER_FLAGGED,,
193,73,4011,1,29.00,29.00,,,,1.0,,1,,4011,1,29.00,1.0,0,,,
194,74,021000013869,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
195,75,075925306254,1,1,1,,,,1.0,,1,,,1,,,1,,,
196,75,075925306254,1,10.00,10.00,,,,2.0,,2,,075925306254,1,10.00,2.0,1,USER_FLAGGED,,
197,75,034100573065,1,1.00,1.00,,,,1.0,,3,,034100573065,1,1.00,1.0,1,USER_FLAGGED,,
198,75,034100573065,1,1.00,1.00,,,,1.0,,4,,034100573065,1,1.00,1.0,1,USER_FLAGGED,,
199,75,,1,,,,,,,,5,,034100573065,1,1.00,1.0,1,USER_FLAGGED,,
200,76,044700030479,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
201,76,044700030479,1,9.99,9.99,,,,1.0,,2,,,1,,,1,,,
202,76,044700030479,1,9.99,9.99,,,,1.0,,3,,,1,,,1,,,
203,76,044700030479,1,9.99,9.99,,,,1.0,,4,,,1,,,1,,,
204,76,044700030479,1,9.99,9.99,,,,1.0,,5,,,1,,,1,,,
205,77,041258081601,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
206,78,075925306254,1,1,1,,,,1.0,,1,,,1,,,0,,,
207,78,034100573065,1,29.00,29.00,,,,1.0,,2,,034100573065,1,29.00,1.0,0,,,
208,78,034100573065,1,29.00,29.00,,,,1.0,,3,,034100573065,1,29.00,1.0,0,,,
209,78,034100573065,1,29.00,29.00,,,,1.0,,4,,034100573065,1,29.00,1.0,0,,,
210,78,034100573065,1,29.00,29.00,,,,1.0,,5,,034100573065,1,29.00,1.0,0,,,
211,78,034100573065,1,29.00,29.00,,,,1.0,,6,,034100573065,1,29.00,1.0,0,,,
212,78,034100573065,1,29.00,29.00,,,,1.0,,7,,034100573065,1,29.00,1.0,0,,,
213,78,034100573065,1,29.00,29.00,,,,1.0,,8,,034100573065,1,29.00,1.0,0,,,
214,78,034100573065,1,29.00,29.00,,,,1.0,,9,,034100573065,1,29.00,1.0,0,,,
215,78,034100573065,1,29.00,29.00,,,,1.0,,10,,034100573065,1,29.00,1.0,0,,,
216,78,034100573065,1,29.00,29.00,,,,1.0,,11,,034100573065,1,29.00,1.0,0,,,
217,79,075925306254,1,1,1,,,,1.0,,1,,,1,,,1,,,
218,79,,1,,,,,,,,2,,034100573065,1,29.00,1.0,1,USER_FLAGGED,,
219,79,,1,,,,,,,,3,,034100573065,1,29.00,1.0,1,USER_FLAGGED,,
220,79,,1,,,,,,,,4,,034100573065,1,29.00,1.0,1,USER_FLAGGED,,
221,79,,1,,,,,,,,5,,034100573065,1,29.00,1.0,1,USER_FLAGGED,,
222,79,,1,,,,,,,,6,,034100573065,1,29.00,1.0,1,USER_FLAGGED,,
